group,angle_id_6,angle_id_7,max_rpm_id_0,max_rpm_id_1,influence,baseline,bias,baseline_corrected,influence_corrected,absolute_influence,relative_influence
23,-1.4618239728385063,0.1749439675850439,5800.0,5800.0,-7.693378527617035,-8.309710654445926,-0.477972922289894,-7.831737732156032,-7.215405605327141,0.6163321268288913,-7.8696727074799355
24,-1.3252996827166843,0.1749439675850439,5800.0,5800.0,-7.9491752003480185,-8.347813942515906,-0.5334212494785753,-7.81439269303733,-7.415753950869443,0.3986387421678872,-5.101340025093397
25,-1.1887753925948623,0.1749439675850439,5800.0,5800.0,-8.2050590157696,-8.24902893182878,-0.4875051265518317,-7.761523805276949,-7.7175538892177675,0.0439699160591811,-0.566511385680304
26,-1.0522511024730403,0.1749439675850439,5800.0,5800.0,-8.385098225883718,-8.307118568845583,-0.4927671343963533,-7.81435143444923,-7.892331091487365,-0.07797965703813503,0.9979031234040113
27,-0.915726812351218,0.1749439675850439,5800.0,5800.0,-8.229889368313795,-8.405365523713101,-0.5092796280545485,-7.896085895658553,-7.720609740259247,0.1754761553993056,-2.2223182183945895
28,-2.0938240574473905,0.2623808724945253,5800.0,5800.0,-8.146523774645798,-8.352878697432917,-0.4893297356570736,-7.863548961775844,-7.657194038988725,0.20635492278711887,-2.624195815276227
29,-1.952697824961912,0.2623808724945253,5800.0,5800.0,-7.894256808236241,-8.46244756622787,-0.4820715072118198,-7.980376059016051,-7.412185301024421,0.5681907579916299,-7.119849412982244
30,-1.810037611688547,0.2623808724945253,5800.0,5800.0,-7.530933290394532,-8.432434943938793,-0.4362258777923065,-7.996209066146486,-7.094707412602225,0.901501653544261,-11.274113096428962
31,-1.668911379203068,0.2623808724945253,5800.0,5800.0,-7.879810493838522,-8.320163624167938,-0.42036843294293347,-7.899795191225004,-7.459442060895588,0.4403531303294157,-5.574234770270432
32,-1.527785146717589,0.2623808724945253,5800.0,5800.0,-8.088143960774293,-8.334682045141196,-0.42650494522296184,-7.908177099918235,-7.661639015551331,0.24653808436690383,-3.1175083872293765
33,-1.3851249334442244,0.2623808724945253,5800.0,5800.0,-7.995305016327502,-8.353185339520374,-0.44617623088280123,-7.907009108637573,-7.549128785444701,0.3578803231928722,-4.5261149731309365
34,-1.2439987009587457,0.2623808724945253,5800.0,5800.0,-8.156658975809801,-8.319051919686009,-0.45760009488110076,-7.861451824804909,-7.699058880928701,0.16239294387620795,-2.0656864342005674
35,-1.101338487685381,0.2623808724945253,5800.0,5800.0,-8.289847900256252,-8.314884205897112,-0.464966164485847,-7.849918041411265,-7.824881735770405,0.025036305640860235,-0.3189371597102584
36,-0.960212255199902,0.2623808724945253,5800.0,5800.0,-8.355909867145343,-8.165144201858059,-0.5128265216866581,-7.652317680171401,-7.843083345458685,-0.19076566528728378,2.4929135624046768
37,-2.1383095002960744,0.3498177774040067,5800.0,5800.0,-8.228484834383611,-8.397945247260527,-0.4868528810495352,-7.911092366210991,-7.741631953334076,0.1694604128769157,-2.1420608562313954
38,-1.9956492870227096,0.3498177774040067,5800.0,5800.0,-7.936074375643493,-8.355373179305998,-0.44488760137891503,-7.910485577927083,-7.491186774264578,0.41929880366250494,-5.300544442334738
39,-1.8545230545372309,0.3498177774040067,5800.0,5800.0,-7.520435090385612,-8.421394119122375,-0.43416686393583914,-7.987227255186536,-7.086268226449773,0.9009590287367626,-11.279997425285746
40,-1.711862841263866,0.3498177774040067,5800.0,5800.0,-8.081254896857859,-8.344039254341707,-0.4204734394233052,-7.923565814918402,-7.660781457434553,0.26278435748384865,-3.3164911306609097
41,-1.570736608778387,0.3498177774040067,5800.0,5800.0,-8.049980629356998,-8.43072428856807,-0.41287053148583597,-8.017853757082234,-7.637110097871163,0.38074365921107134,-4.748697977619727
42,-1.4296103762929082,0.3498177774040067,5800.0,5800.0,-8.124070689999677,-8.433489868148259,-0.43538992079489813,-7.998099947353361,-7.688680769204779,0.3094191781485822,-3.8686585587239586
43,-1.2869501630195432,0.3498177774040067,5800.0,5800.0,-8.220267505749412,-8.308810232825468,-0.4491868121018966,-7.859623420723572,-7.771080693647515,0.0885427270760566,-1.1265517740022357
44,-1.1458239305340645,0.3498177774040067,5800.0,5800.0,-8.30244828355504,-8.27232556693298,-0.4393781334019609,-7.832947433531018,-7.86307015015308,-0.030122716622061674,0.3845642636782338
45,-1.0031637172607,0.3498177774040067,5800.0,5800.0,-8.301020251338777,-8.363410372195986,-0.5429385085399796,-7.820471863656007,-7.758081742798797,0.0623901208572093,-0.7977794939350684
46,-2.225746405205556,0.4357207015256028,5800.0,5800.0,-8.30882198778171,-8.40296121745902,-0.5293030528665373,-7.873658164592482,-7.779518934915173,0.09413922967730848,-1.1956225138227201
47,-2.0784842495685343,0.4357207015256028,5800.0,5800.0,-8.095588617736247,-8.564725154282211,-0.5481062570349945,-8.016618897247216,-7.5474823607012524,0.4691365365459639,-5.852049879869656
48,-1.9312220939315128,0.4357207015256028,5800.0,5800.0,-7.838941326607829,-8.572956620295024,-0.5366505549099121,-8.036306065385112,-7.302290771697917,0.7340152936871949,-9.133739901331394
49,-1.783959938294491,0.4357207015256028,5800.0,5800.0,-8.397590508985838,-8.62269079344259,-0.5209053975602933,-8.101785395882297,-7.8766851114255445,0.22510028445675268,-2.778403443902119
50,-1.6366977826574698,0.4357207015256028,5800.0,5800.0,-8.522991946426748,-8.306642075876395,-0.5510350109961045,-7.755607064880291,-7.971956935430644,-0.21634987055035282,2.789592984023775
51,-1.4894356270204483,0.4357207015256028,5800.0,5800.0,-8.357022118952814,-8.321785844707884,-0.5427292686028605,-7.779056576105024,-7.814292850349954,-0.035236274244930144,0.4529633368802796
52,-1.3421734713834264,0.4357207015256028,5800.0,5800.0,-8.248522222369324,-8.577423360612658,-0.5350437855059825,-8.042379575106676,-7.713478436863341,0.3289011382433342,-4.089599790357714
53,-1.1949113157464049,0.4357207015256028,5800.0,5800.0,-8.193200775807005,-8.49721608472907,-0.5452233826330889,-7.951992702095981,-7.647977393173917,0.3040153089220645,-3.82313365103985
54,-1.0476491601093834,0.4357207015256028,5800.0,5800.0,-8.325786757848501,-8.517081560478509,-0.6822594682771138,-7.834822092201395,-7.643527289571387,0.19129480263000787,-2.441597274051933
55,-2.268697867266354,0.5231576064350842,5800.0,5800.0,-8.325453939115404,-8.544272782210552,-0.6495355704011722,-7.89473721180938,-7.675918368714232,0.2188188430951481,-2.771705216075171
56,-2.127571634780874,0.5231576064350842,5800.0,5800.0,-8.197057480756412,-8.537594129884399,-0.6418053584851302,-7.8957887713992685,-7.555252122271281,0.3405366491279871,-4.312889554005105
57,-1.98491142150751,0.5231576064350842,5800.0,5800.0,-8.097330869416568,-8.497859970728557,-0.6170411240493165,-7.88081884667924,-7.480289745367251,0.4005291013119887,-5.082328487740339
58,-1.8437851890220311,0.5231576064350842,5800.0,5800.0,-8.547228327566096,-8.519768926086186,-0.6415019839831487,-7.878266942103037,-7.905726343582947,-0.027459401479909218,0.34854621811759984
59,-1.7011249757486666,0.5231576064350842,5800.0,5800.0,-8.692743003904937,-8.356773206237488,-0.636662786882835,-7.720110419354653,-8.056080217022101,-0.33596979766744806,4.351878139270614
60,-1.5599987432631877,0.5231576064350842,5800.0,5800.0,-8.530692407861352,-8.583835387604399,-0.650436789602796,-7.933398598001602,-7.8802556182585555,0.053142979743046936,-0.669863981830353
61,-1.4173385299898231,0.5231576064350842,5800.0,5800.0,-8.469200327773812,-8.464633197258738,-0.6495277728401905,-7.815105424418547,-7.8196725549336215,-0.004567130515074069,0.05843978125751091
62,-1.276212297504344,0.5231576064350842,5800.0,5800.0,-8.220462619378386,-8.490903758157407,-0.6793296674291393,-7.811574090728267,-7.541132951949247,0.2704411387790202,-3.462056886844521
63,-1.1350860650188648,0.5231576064350842,5800.0,5800.0,-8.308489520198558,-8.622509381437549,-0.7777301306808144,-7.844779250756734,-7.530759389517743,0.3140198612389913,-4.002915202600504
64,-2.268697867266354,0.6105945113445657,5800.0,5800.0,-8.42420915877178,-8.69851953750192,-0.7628600604150363,-7.935659477086883,-7.661349098356743,0.2743103787301404,-3.4566803114747255
65,-2.1383095002960744,0.6105945113445657,5800.0,5800.0,-8.217159786609688,-8.597226221939199,-0.762914342651481,-7.834311879287718,-7.454245443958207,0.38006643532951045,-4.851305911554615
66,-2.006387152537909,0.6105945113445657,5800.0,5800.0,-8.317473219209113,-8.649152232373314,-0.7506803158045949,-7.898471916568719,-7.566792903404518,0.33167901316420156,-4.199280780734746
67,-1.8759987855676297,0.6105945113445657,5800.0,5800.0,-8.761499342263914,-8.719088248970095,-0.7335791572712682,-7.985509091698827,-8.027920184992645,-0.042411093293818425,0.5311006825839822
68,-1.7456104185973502,0.6105945113445657,5800.0,5800.0,-8.663659777039896,-8.706380945444106,-0.7393085598939892,-7.967072385550117,-7.924351217145907,0.04272116840420992,-0.5362216675938997
69,-1.613688070839185,0.6105945113445657,5800.0,5800.0,-8.655118256258245,-8.593829270715041,-0.7424819489386966,-7.851347321776345,-7.9126363073195485,-0.06128898554320372,0.7806174282115094
70,-1.4832997038689055,0.6105945113445657,5800.0,5800.0,-8.644525454523398,-8.582565798391132,-0.7370594536487651,-7.8455063447423665,-7.907466000874633,-0.061959656132266616,0.7897470655133512
71,-1.352911336898626,0.6105945113445657,5800.0,5800.0,-8.45573165088188,-8.594052329483072,-0.7530639120906983,-7.840988417392373,-7.702667738791182,0.13832067860119146,-1.7640719669267395
